申万一级,申万二级
传媒,数字媒体
传媒,出版
传媒,游戏Ⅱ
传媒,电视广播Ⅱ
传媒,广告营销
电力设备,风电设备
电力设备,电网设备
电力设备,电机Ⅱ
电力设备,电池
电子,半导体
电子,其他电子Ⅱ
电子,消费电子
电子,电子化学品Ⅱ
房地产,房地产服务
房地产,房地产开发
纺织服饰,饰品
纺织服饰,服装家纺
非银金融,多元金融
钢铁,冶钢原料
钢铁,普钢
钢铁,特钢Ⅱ
公用事业,电力
公用事业,燃气Ⅱ
国防军工,航海装备Ⅱ
国防军工,地面兵装Ⅱ
国防军工,航天装备Ⅱ
环保,环保设备Ⅱ
环保,环境治理
机械设备,轨交设备Ⅱ
机械设备,专用设备
机械设备,工程机械
机械设备,通用设备
机械设备,自动化设备
基础化工,橡胶
基础化工,化学原料
基础化工,化学纤维
基础化工,塑料
基础化工,农化制品
基础化工,非金属材料Ⅱ
计算机,软件开发
家用电器,厨卫电器
家用电器,黑色家电
家用电器,其他家电Ⅱ
家用电器,白色家电
家用电器,照明设备Ⅱ
家用电器,家电零部件Ⅱ
家用电器,小家电
建筑材料,玻璃玻纤
建筑材料,装修建材
建筑装饰,工程咨询服务Ⅱ
建筑装饰,房屋建设Ⅱ
建筑装饰,专业工程
建筑装饰,装修装饰Ⅱ
交通运输,物流
交通运输,航运港口
交通运输,航空机场
煤炭,焦炭Ⅱ
煤炭,煤炭开采
美容护理,化妆品
美容护理,个护用品
美容护理,医疗美容
农林牧渔,饲料
农林牧渔,渔业
农林牧渔,种植业
农林牧渔,农产品加工
农林牧渔,农业综合Ⅱ
农林牧渔,养殖业
农林牧渔,动物保健Ⅱ
汽车,乘用车
汽车,汽车零部件
汽车,摩托车及其他
汽车,商用车
轻工制造,造纸
轻工制造,家居用品
轻工制造,文娱用品
商贸零售,专业连锁Ⅱ
商贸零售,一般零售
商贸零售,贸易Ⅱ
社会服务,酒店餐饮
社会服务,体育Ⅱ
社会服务,旅游及景区
社会服务,专业服务
社会服务,教育
石油石化,油服工程
食品饮料,白酒Ⅱ
食品饮料,饮料乳品
食品饮料,食品加工
食品饮料,调味发酵品Ⅱ
通信,通信设备
医药生物,中药Ⅱ
医药生物,医疗器械
医药生物,化学制药
医药生物,医疗服务
银行,农商行Ⅱ
银行,国有大型银行Ⅱ
银行,城商行Ⅱ
有色金属,小金属
有色金属,能源金属
有色金属,金属新材料
有色金属,工业金属
